카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명
청소기,다이슨 청소기,다이슨 무선 청소기 영등포 문래동3가,거래완료,"20,000원",여의동,2026-08-01,3,1,160,42.4℃,파격적,생활가전,문래북로52,"다이슨 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자취생이나 신혼부부에게 선물하기 좋은 아이템이에요"
청소기,다이슨 청소기,다이슨 V7 무선청소기 관악,거래완료,"75,000원",신길제1동,2026-07-02,2,3,160,99℃,센센,생활가전,서울산업 정보학교 정문에서 거래합니다,"고장난 다이슨 무선청소기 판매합니다.
오늘 갑자기 안되서 방금 새거사서 정리합니다.

아까 매장가서 물어보니 배터리문제인거 같아요.

미국가서 사온제품이라 110v 입니다.

거치대 부속 전부다 있어서 같이드려요~

청소기자루 부분에 기스가있습니다. 참고해주세요~

교환 환불 불가입니다."
청소기,다이슨 청소기,"다이슨 V8 플러피 (거치대/풀구성, 배터리 교체 필요 또는 부품용) 구로",거래완료,"30,000원",도림동,2026-07-02,0,0,34,38℃,박주녕,생활가전,문고리거래 가능하며 제가 지금 출장에 와있어서 금요일날 오후 10시부터 거래 가능합니다.,"다이슨 V8 플러피 모델 판매합니다.현재 작동은 정상적으로 잘 되지만, 알리/해외 직구로 교체한 호환 배터리라서 가동 시간이 많이 짧습니다. 배터리를 새로 교체해서 쓰시거나 부품용, 서브 청소기로 사용하실 분이 가져가셨으면 좋겠습니다.
거치대도드립니다"
청소기,다이슨 청소기,다이슨 V7 무선청소기 구로,거래완료,"50,000원",도림동,2026-07-02,1,4,370,41.4℃,빠른물,생활가전,"부피가 있어 직거래 선호하며, 정품 박스 필요하시면 함께 챙겨드립니다!","다이슨 v7 무선 청소기 판매합니다. 

거치대 포함입니다.

아마 앱솔루트였던 것 같은데 정확하지는 않습니다.
배터리 교체 없이 사용했고 약모드 기준으로는 잠깐 잠깐 청소는 무리 없으나 강모드는 거의 못쓰는 상태라고 보시면 됩니다. 동작은 하는데 20초 못버티고 멈춥니다. 써보시다가 불편하시면 배터리를 별도로 구매해서 쓰시는걸 추천드립니다. 대청소 수준이 아니면 약모드 쓰다가 배터리 나가는 수준은 아니지만 강모드를 제대로 못쓰긴 합니다. 

롤러는 플러피 헤드 (부드러운거, 롤러형)가 고장난줄 알았으나 다시 확인 해 보니 정상 동작 하네요. 다만 분해 청소를 한번 해보니 롤러 보호하는 원형 부품이 파손된 상태라 제 생각에는 그쪽으로 머리카락 엉킴이 발생할 가능성이 있어 보입니다. 분해했을 때 그냥 쓰레기라 생각했는데 분해청소 사진 보니 부품은 맞는 것 같더군요. 

모터헤드 (솔 있는 롤러, 카페트에 좋음, 소음 심함)도 청소하는데는 문제 없으니 그걸 쓰셔도 되고 플러피 헤드가 쓰시다가 혹시 불편하거나 고장나면 별도로 호환 롤러 사서 쓰시면 될 것 같습니다."
청소기,다이슨 청소기,다이슨 sv10 청소기 풀세트 동작,거래완료,"95,000원",신길제5동,2026-06-02,2,8,257,42.7℃,tonraef,생활가전,흑석역,"다이슨(Dyson) V8 앱솔루트 무선청소기입니다.

다이슨 정품이며, 사용감은 있는 편이라 외관에 생활기스나 사용 흔적이 있습니다.

- 모델명: 다이슨 V8 앱솔루트
- 다이슨 정품 본체
- 무선 청소기
- 사용감 있음
- 구성품 모두 포함
- 청소기 헤드는 다이슨 정품이 아닌 호환제품으로 교체된 상태입니다.

사용감 및 호환 헤드인 점 감안해서 저렴하게 판매합니다.

중고거래 특성상 사용감이나 정품 여부에 예민하신 분은 신중하게 구매 부탁드립니다.

직거래 희망하며, 궁금한 점 있으시면 편하게 연락 주세요 😊"
청소기,다이슨 청소기,다이슨 청소기 V8 동작,거래완료,"30,000원",신길제5동,2026-07-02,6,2,151,58.7℃,몽이엄마,생활가전,"신상도초후문, 롯데캐슬파크엘 후문 근처 직거래만 가능해요.","다이슨 청소기 V8

바테리는 충전 다 하면 20평 1번 돌릴정도 되요.
비테리 교체해서 쓰시면 됩니다.

호환 헤드 새로 구입해서  2번정도 썼는데 쿠팡에서 24,400원에 산것도 드려요.
https://link.coupang.com/a/eA4ZKaoL0e?abTestInfo=100412_group_A

먼지통은 비웠지만 헤드는 청소해서 쓰셔야해요.

신상도초후문, 롯데캐슬파크엘 후문 근처 직거래만 가능해요."
청소기,다이슨 청소기,다이슨 V6 무선 청소기 관악,거래완료,"30,000원",신길제1동,2026-07-02,7,9,332,42.6℃,황금,생활가전,여의도 KBS 별관 버스정류장,"다이슨 V6 무선 청소기 판매해요
본체와 충전기,  포함입니다
사진에서 보이는 구성품 그대로 드려요
깔끔한 디자인으로 인테리어 효과도 있어요
  

환불 불가"
청소기,다이슨 청소기,다이슨 V7 무선 청소기 관악,거래완료,"40,000원",신길제1동,2026-07-02,3,0,105,62.6℃,연이,생활가전,직거래는 서울 강서구 화곡동 입니다,"다이슨 V7무선 청소기 
사진에서 보이는 구성품 그대로 드려요

강력한 흡입력으로 집안 곳곳 깨끗하게 청소해보세요
사용감 잇음. 배터리 짱짱함. 오염많앗지만 내부 .먼지통.헤드. 필터 깨끗에 청소"
청소기,다이슨 청소기,[미개봉새상품]다이슨 V15 오리지널 플러피 니켈 레드 무선청소기 영등포,거래완료,"410,000원",도림동,2026-06-02,2,2,84,36.8℃,꾸리,생활가전,직거래는 영등포동3가20번지 입니다,"다이슨 청소기 부품 세트 판매해요. 사진처럼 몇번 사용하지 않았습니다.
사진에 보이는 구성품 그대로 드려요

다양한 툴로 청소 효율을 높여보세요
청소의 신세계를 경험하게 해줄 아이템이에요

1번은 틈새 청소에 좋습니다. ₩5,000

2번은 본체에 바로 끼워서 간단하게  청소하거나 침구청소에 탁월합니다.
 ₩8,000-판매"
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선청소기 + 거치대,거래완료,"70,000원",양평제1동,2026-06-02,4,1,110,77.2℃,pcksy1,생활가전,여의도 성모병원 인근에서 직거래 희망합니다!,"다이슨 V8 앱솔루트 무선청소기입니다
사진에 보이는 구성품 모두 포함되어 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
바닥, 카펫 등 다양한 곳에 활용하기 좋은 청소기랍니다
배터리는 1년 정도되었는데 한달에 한두번 사용한거라 아직 한참 사용 가능합니다"
